Full Name,total_points,points_per_game_rank,points_per_game,now_cost,minutes,starts_per_90,element_type,ROI,team_code
Kepa Arrizabalaga,118,45,4.1,4.5,2565,1.02,1,0.911111111111111,8
William Saliba,117,29,4.3,4.9,2415,1.01,2,0.8775510204081631,3
Kieran Trippier,198,13,5.2,6.0,3342,1.02,2,0.8666666666666667,4
Solly March,147,21,4.5,5.2,2719,1.03,3,0.8653846153846153,36
Andreas Hoelgebaum Pereira,123,77,3.7,4.3,2696,1.1,3,0.8604651162790699,54
Granit Xhaka,153,47,4.1,4.8,2992,1.08,3,0.8541666666666666,3
Miguel Almirón Rejala,158,20,4.6,5.4,2487,1.05,3,0.8518518518518517,4
Gabriel Martinelli Silva,198,10,5.5,6.5,2789,1.1,3,0.8461538461538461,3
Martin Ødegaard,212,7,5.7,6.9,3132,1.06,3,0.8260869565217391,3
Benjamin White,156,49,4.1,5.0,3054,1.06,2,0.82,3
Ben Mee,143,60,3.9,4.8,3269,1.02,2,0.8125,94
Sven Botman,129,89,3.6,4.5,3127,1.01,2,0.8,4
Pascal Groß,159,30,4.3,5.4,3240,1.03,3,0.7962962962962962,36
Kurt Zouma,88,102,3.5,4.4,1988,1.09,2,0.7954545454545454,21
Douglas Luiz Soares de Paulo,142,72,3.8,4.8,2922,1.02,3,0.7916666666666666,7
Willian Borges da Silva,116,31,4.3,5.5,2127,1.06,3,0.7818181818181817,54
Nick Pope,157,38,4.2,5.4,3261,1.02,1,0.7777777777777778,4
Ivan Toney,182,11,5.5,7.1,2953,1.01,4,0.7746478873239437,94
Fabian Schär,139,63,3.9,5.1,3207,1.01,2,0.7647058823529412,4
Jacob Ramsey,135,64,3.9,5.1,2634,1.06,3,0.7647058823529412,7
Emiliano Martínez Romero,135,73,3.8,5.0,3139,1.03,1,0.76,7
Norberto Murara Neto,93,113,3.4,4.5,2385,1.02,1,0.7555555555555555,91
Dan Burn,129,114,3.4,4.5,3109,1.01,2,0.7555555555555555,4
Luke Shaw,124,54,4.0,5.3,2552,1.06,2,0.7547169811320755,1
Mathias Jensen,132,90,3.6,4.8,2805,1.19,3,0.75,94
Joe Willock,123,103,3.5,4.7,2556,1.09,3,0.7446808510638298,4
Pervis Estupiñán,128,82,3.7,5.0,2674,1.04,2,0.74,36
Oleksandr Zinchenko,99,83,3.7,5.0,2122,1.1,2,0.74,3
Eberechi Eze,159,39,4.2,5.7,2631,1.03,3,0.7368421052631579,31
Rodrigo Bentancur,71,65,3.9,5.3,1501,1.02,3,0.7358490566037736,6
John Stones,93,55,4.0,5.6,1844,1.02,2,0.7142857142857143,43
Lukasz Fabianski,127,104,3.5,4.9,3111,1.04,1,0.7142857142857142,21
Morgan Gibbs-White,145,66,3.9,5.5,3151,1.03,3,0.7090909090909091,17
Nathan Aké,92,105,3.5,5.0,1871,1.06,2,0.7,43
Philip Billing,126,106,3.5,5.0,2766,1.11,3,0.7,91
Callum Wilson,157,14,5.1,7.3,1870,1.01,4,0.6986301369863014,4
Ashley Young,87,151,3.0,4.3,2031,1.02,2,0.6976744186046512,7
Leon Bailey,100,152,3.0,4.3,1964,1.19,3,0.6976744186046512,7
Dominic Solanke,130,67,3.9,5.6,2865,1.01,4,0.6964285714285715,91
Emerson Leite de Souza Junior,86,121,3.3,4.8,1729,1.04,2,0.6875,6
Bryan Mbeumo,150,68,3.9,5.7,2905,1.12,4,0.6842105263157895,94
Aleksandar Mitrović,107,22,4.5,6.6,2010,1.03,4,0.6818181818181819,54
Rico Henry,112,153,3.0,4.4,3240,1.03,2,0.6818181818181818,94
Lisandro Martínez,81,154,3.0,4.4,2113,1.02,2,0.6818181818181818,1
Michael Olise,132,92,3.6,5.3,2743,1.02,3,0.679245283018868,31
Serge Aurier,70,164,2.9,4.3,1943,1.02,2,0.6744186046511628,17
Harrison Reed,107,165,2.9,4.3,2868,1.1,3,0.6744186046511628,54
Max Kilman,109,166,2.9,4.3,3307,1.01,2,0.6744186046511628,39
Joël Veltman,95,141,3.1,4.6,2183,1.03,2,0.673913043478261,36
Alex Iwobi,126,122,3.3,4.9,3379,1.01,3,0.6734693877551019,11
Dwight McNeil,126,107,3.5,5.2,2490,1.01,3,0.673076923076923,11
Raphaël Varane,77,134,3.2,4.8,1912,1.04,2,0.6666666666666667,1
Hugo Lloris,89,93,3.6,5.4,2205,1.02,1,0.6666666666666666,6
Tim Ream,98,155,3.0,4.5,2898,1.02,2,0.6666666666666666,54
Bukayo Saka,202,12,5.3,8.0,3183,1.05,3,0.6625,3
Kenny Tete,90,167,2.9,4.4,2569,1.02,2,0.6590909090909091,54
Leandro Trossard,154,32,4.3,6.6,2237,1.05,3,0.6515151515151515,3
Rodrigo Moreno,127,50,4.1,6.3,1928,1.07,3,0.6507936507936507,2
Jack Harrison,134,85,3.7,5.7,2707,1.13,3,0.6491228070175439,2
Ollie Watkins,175,18,4.7,7.3,3129,1.04,4,0.6438356164383562,7
Alexander Isak,100,23,4.5,7.0,1520,1.01,4,0.6428571428571429,4
Pierre-Emile Højbjerg,120,117,3.4,5.3,3131,1.01,3,0.6415094339622641,6
Carlos Henrique Casimiro,87,144,3.1,4.9,2122,1.02,3,0.6326530612244897,1
Erling Haaland,272,2,7.8,12.4,2767,1.07,4,0.6290322580645161,43
Craig Dawson,75,156,3.0,4.8,2134,1.05,2,0.625,39
Adam Webster,75,184,2.8,4.5,1983,1.04,2,0.6222222222222222,36
Harvey Barnes,138,51,4.1,6.6,2709,1.06,3,0.6212121212121212,13
James Ward-Prowse,142,86,3.7,6.1,3371,1.01,3,0.6065573770491804,20
Virgil van Dijk,127,57,4.0,6.6,2835,1.02,2,0.6060606060606061,14
Jack Grealish,121,33,4.3,7.1,2051,1.01,3,0.6056338028169014,43
Christian Nørgaard,71,136,3.2,5.3,1763,1.07,3,0.6037735849056605,94
Joelinton Cássio Apolinário de Lira,115,94,3.6,6.0,2660,1.02,3,0.6,4
Bruno Guimarães Rodriguez Moura,107,123,3.3,5.5,2727,1.06,3,0.6,4
Christian Eriksen,103,87,3.7,6.2,2046,1.1,3,0.5967741935483871,1
Lucas Tolentino Coelho de Lima,98,109,3.5,5.9,2154,1.13,3,0.5932203389830508,21
Gabriel Fernando de Jesus,125,15,4.8,8.1,2064,1.05,4,0.5925925925925926,3
Brennan Johnson,122,138,3.2,5.5,2930,1.01,4,0.5818181818181819,17
Ilkay Gündogan,132,35,4.3,7.4,2351,1.03,3,0.581081081081081,43
James Maddison,135,24,4.5,7.8,2479,1.02,3,0.576923076923077,13
Daniel Castelo Podence,92,174,2.9,5.1,1760,1.02,3,0.5686274509803921,39
Che Adams,94,118,3.4,6.0,1987,1.04,4,0.5666666666666667,20
Jadon Sancho,105,58,4.0,7.1,1683,1.12,3,0.5633802816901409,1
Riyad Mahrez,126,41,4.2,7.5,1913,1.04,3,0.56,43
Tomas Soucek,100,185,2.8,5.0,2811,1.02,3,0.5599999999999999,21
Phil Foden,142,27,4.4,8.0,1832,1.08,3,0.55,43
Emiliano Buendía Stati,117,146,3.1,5.7,2404,1.01,3,0.543859649122807,7
Trent Alexander-Arnold,156,42,4.2,7.8,2922,1.05,2,0.5384615384615385,14
Rodrigo Hernandez,108,161,3.0,5.6,2911,1.05,3,0.5357142857142857,43
Andrew Robertson,121,95,3.6,6.8,2579,1.01,2,0.5294117647058824,14
Wilfried Zaha,95,110,3.5,7.2,2289,1.06,3,0.4861111111111111,31
Mohamed Salah,239,5,6.3,13.1,3290,1.01,3,0.48091603053435117,14
Mason Mount,82,119,3.4,7.2,1644,1.09,3,0.4722222222222222,8
Kevin De Bruyne,183,8,5.7,12.1,2413,1.04,3,0.4710743801652893,43
Youri Tielemans,86,190,2.8,6.1,2341,1.04,3,0.45901639344262296,13
Antony Matheus dos Santos,82,126,3.3,7.3,1803,1.15,3,0.4520547945205479,1
Danny Welbeck,91,177,2.9,6.5,1844,1.02,4,0.4461538461538461,36
Darwin Núñez Ribeiro,100,120,3.4,8.6,1684,1.02,4,0.3953488372093023,14
Kai Havertz,102,178,2.9,7.4,2565,1.05,4,0.3918918918918919,8
Raheem Sterling,101,98,3.6,9.7,1886,1.1,3,0.3711340206185567,8
Son Heung-min,152,44,4.2,11.5,2886,1.03,3,0.3652173913043478,6
